್ರಾಚೀನ JJ ಪ್ರಾಚೀನ 0 O
ಕಾಲದಿಂದಲೂ NN ಕಾಲದಿಂದಲೂ 0 O
ಭಾರತ NNP ಭಾರತ 0 B-LOC
ಹಾಗೂ CC ಹಾಗೂ 0 O
ಯುರೋಪಿನ NNP ಯುರೋಪಿನ 0 B-LOC
ಮಧ್ಯ NST ಮಧ್ಯ 0 O
ವಾಣಿಜ್ಯ NN ವಾಣಿಜ್ಯ 0 O
ಸಂಬಂಧಗಳು NN ಸಂಬಂಧ ಗಳು O
ಬೆಸೆದು VM ಬೆಸೆದು 0 O
ಕೊಂಡಿದ್ದವು VM ಕೊಂಡಿದ್ದವು 0 O
. SYM . 0 O
ಪ್ರಮುಖವಾಗಿ RB ಪ್ರಮುಖವಾಗಿ 0 O
ಭಾರತದ NNP ಭಾರತದ 0 B-LOC
ಸಾಂಬಾರ NN ಸಾಂಬಾರ 0 O
ಪದಾರ್ಥಗಳಾದ NN ಪದಾರ್ಥಗಳ ಾದ O
ಮೆಣಸು NN ಮೆಣಸು 0 O
, SYM , 0 O
ದಾಲ್ಚಿನ್ನಿ NNP ದಾಲ್ ಿ O
, SYM , 0 O
ಏಲಕ್ಕಿ NN ಏಲಕ್ಕಿ 0 O
, SYM , 0 O
ಶುಂಠಿ NN ಶುಂಠಿ 0 O
ಇತ್ಯಾದಿ NN ಇತ್ಯಾದಿ 0 O
ವಸ್ತುಗಳಿಗೆ NN ವಸ್ತು ಗಳಿಗೆ O
ಯುರೋಪಿನ NNP ಯುರೋಪಿನ 0 B-COM
ಜನರಿಂದ NN ಜನರ ಿಂದ I-COM
ಯಥೇಚ್ಛ NN ಯಥೇಚ್ಛ 0 O
ಬೇಡಿಕೆಯಿತ್ತು VM ಬೇಡಿಕೆಯ ಿತ್ತು O
. SYM . 0 O
ಈ DEM ಈ 0 O
ವಸ್ತುಗಳನ್ನು NN ವಸ್ತುಗಳನ್ನು 0 O
ಯುರೋಪಿನ NNP ಯುರೋಪಿನ 0 B-LOC
ಗ್ರೀಕ್ NNP ಗ್ರಿ ೕಕ್ B-COM
ಮತ್ತು CC ಮತ್ತು 0 O
ರೋಮನ್ NNP ರೋ ಮನ್ B-COM
ಸಾಮ್ರಾಜ್ಯಗಳಿಗೆ NN ಸಾಮ್ರಾಜ್ಯ ಗಳಿಗೆ O
ರಫ್ತÅ NN ರಫ್ತÅ 0 O
